,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP
0,95.0,120.0,5.0,31.0,1.4,92.0,25,1006,0
1,102.0,118.0,6.0,28.0,1.5,126.0,27,1006,0
2,102.0,111.0,6.0,25.0,1.5,176.0,28,1005,0
3,89.0,102.0,8.0,21.0,1.5,220.0,29,1005,0
4,67.0,80.0,11.0,17.0,1.4,250.0,30,1004,0
5,56.0,58.0,10.0,15.0,1.2,254.0,31,1003,0
6,56.0,77.0,8.0,17.0,1.1,255.0,30,1003,0
7,51.0,69.0,7.0,16.0,1.1,244.0,30,1003,0
8,54.0,81.0,6.0,17.0,1.1,233.0,29,1003,0
9,49.0,71.0,5.0,20.0,1.1,230.0,28,1004,0
10,48.0,91.0,4.0,27.0,1.2,200.0,28,1005,0
11,58.0,88.0,4.0,37.0,1.3,166.0,27,1005,0
12,65.0,100.0,4.0,38.0,1.3,146.0,25,1005,0
13,46.0,64.0,3.0,38.0,1.1,122.0,25,1004,0
14,41.0,42.0,4.0,30.0,1.0,112.0,24,1004,0
15,28.0,35.0,3.0,27.0,0.8,106.0,23,1004,0
16,27.0,28.0,2.0,24.0,0.7,103.0,23,1004,0
17,17.0,21.0,2.0,23.0,0.6,91.0,22,1004,0
18,19.0,20.5,2.0,24.0,0.6,79.0,22,1004,0
19,14.0,20.0,2.0,25.0,0.6,71.0,21,1003,0
20,17.0,28.0,2.0,30.0,0.6,60.0,21,1004,0
21,20.0,34.0,2.0,29.0,0.7,65.0,22,1004,0
22,18.0,30.0,2.0,26.0,0.7,69.0,24,1003,0
23,16.0,30.0,3.0,28.0,0.7,69.0,25,1004,0
