,PM2.5(t),PM10(t),SO2(t),NO2(t),CO(t),O3(t),TEMP(t),PRES(t),DEWP(t)
0,89.2958,78.83139,2.0520043,34.69929,205.42128,32.764465,22.461563,1006.1417,0.42492822
1,84.72012,83.636955,2.0520043,32.726883,248.75163,30.982306,22.25565,1006.1417,0.96359193
2,80.260895,88.42448,2.3979516,32.34427,259.48364,30.982306,22.236979,1006.1417,1.3527453
3,78.206535,92.248886,2.730182,30.973478,245.2594,30.982306,22.236979,1006.1417,1.869794
4,76.11169,93.38934,2.730182,28.390757,245.2594,30.89781,22.21574,1006.1417,2.4167135
5,72.99154,93.38934,2.6359954,28.04368,245.2594,30.89781,22.419106,1006.1352,2.4167135
6,72.99154,93.38934,2.6359954,27.804472,250.66121,31.328867,22.53703,1006.1352,2.4581308
7,72.99154,93.38934,2.6359954,27.63492,247.9735,31.328867,22.521166,1006.1352,3.3938184
8,72.82328,92.99438,2.6359954,27.63492,251.60097,30.89781,22.521166,1006.1352,3.7522414
9,72.82328,92.99438,2.6359954,27.57659,251.60097,30.89781,22.3178,1006.1352,4.1059103
10,73.66577,92.99438,2.6359954,27.930256,251.60097,31.328867,22.199877,1006.1352,4.6624713
11,74.13904,92.99438,2.6359954,29.322977,261.1715,30.948088,22.199877,1006.1014,5.180265
